msg_id,first_node_process_time,last_node_process_time
3 9,0.012346744537353516, 0.014462709426879883
3 10,0.011462688446044922, 0.014692544937133789
3 11,0.010537385940551758, 0.013639211654663086
3 12,0.014366626739501953, 0.022159099578857422
3 13,0.014507293701171875, 0.014676570892333984
1 18,0.0029587745666503906, 0.004126310348510742
2 21,0.011055946350097656, 0.015474081039428711
2 22,0.01672220230102539, 0.01816725730895996
3 14,0.005517244338989258, 0.007483720779418945
1 19,0.011104583740234375, 0.013832569122314453
2 23,0.01041865348815918, 0.013195276260375977
2 24,0.008657217025756836, 0.01209115982055664
2 25,0.010006189346313477, 0.012594461441040039
1 20,0.010213136672973633, 0.014206409454345703
3 15,0.009122610092163086, 0.011333942413330078
2 26,0.01019430160522461, 0.013297796249389648
1 21,0.007798433303833008, 0.011782407760620117
3 16,0.013289213180541992, 0.014933586120605469
2 27,0.004643440246582031, 0.006291627883911133
1 22,0.0030510425567626953, 0.004686832427978516
3 17,0.011531591415405273, 0.013239145278930664
3 18,0.0027213096618652344, 0.003679513931274414
2 28,0.006460666656494141, 0.007202625274658203
1 23,0.010846376419067383, 0.02010822296142578
2 29,0.013849735260009766, 0.015831470489501953
1 24,0.0050106048583984375, 0.00874638557434082
2 30,0.0020999908447265625, 0.003434419631958008
3 19,0.010242462158203125, 0.012233495712280273
2 31,0.00693821907043457, 0.008459806442260742
3 20,0.008798837661743164, 0.010332107543945312
3 21,0.012982606887817383, 0.013414859771728516
1 25,0.008787155151367188, 0.010912418365478516
2 32,0.011804342269897461, 0.013307332992553711
3 22,0.011079788208007812, 0.016773462295532227
3 23,0.010284185409545898, 0.013815164566040039
2 33,0.005240440368652344, 0.006929636001586914
3 24,0.011104583740234375, 0.014706134796142578
1 26,0.011564493179321289, 0.01337575912475586
3 25,0.009861230850219727, 0.01324915885925293
2 34,0.011933088302612305, 0.014136314392089844
3 26,0.0031430721282958984, 0.003949642181396484
2 35,0.009613513946533203, 0.013244867324829102
1 27,0.01050257682800293, 0.013921499252319336
1 28,0.010663032531738281, 0.013787031173706055
3 27,0.005600690841674805, 0.0070192813873291016
1 29,0.01073455810546875, 0.013675212860107422
2 36,0.01209878921508789, 0.014489173889160156
1 30,0.004702329635620117, 0.0058209896087646484
2 37,0.011580944061279297, 0.015210151672363281
1 31,0.009912967681884766, 0.012334585189819336
1 32,0.011589765548706055, 0.01229238510131836
3 28,0.010988473892211914, 0.014796733856201172
3 29,0.0033385753631591797, 0.005253314971923828
2 38,0.011621236801147461, 0.014393806457519531
1 33,0.010617256164550781, 0.01629042625427246
1 34,0.008553266525268555, 0.01149296760559082
2 39,0.011632442474365234, 0.015032052993774414
1 35,0.011436700820922852, 0.013363838195800781
1 36,0.011145353317260742, 0.01418447494506836
3 30,0.012426376342773438, 0.01493382453918457
2 40,0.015006065368652344, 0.0175626277923584
1 37,0.0031349658966064453, 0.004250049591064453
3 31,0.007503509521484375, 0.009480953216552734
1 38,0.010615110397338867, 0.014396190643310547
1 39,0.010576009750366211, 0.01416778564453125
1 40,0.00934910774230957, 0.012725114822387695
1 41,0.011298894882202148, 0.015845060348510742
2 41,0.008959293365478516, 0.012420415878295898
1 42,0.012270450592041016, 0.0164797306060791
3 32,0.011392354965209961, 0.014347553253173828
1 43,0.006324052810668945, 0.007915258407592773
2 42,0.01042318344116211, 0.013924598693847656
3 33,0.0116119384765625, 0.014052629470825195
3 34,0.018897056579589844, 0.0239102840423584
2 43,0.020929574966430664, 0.025318622589111328
1 44,0.012521982192993164, 0.01615142822265625
3 35,0.011842966079711914, 0.015005826950073242
2 44,0.012123584747314453, 0.013317108154296875
2 45,0.010962247848510742, 0.01498270034790039
2 46,0.011899232864379883, 0.012380838394165039
3 36,0.005900382995605469, 0.008504867553710938
3 37,0.0060727596282958984, 0.00788116455078125
3 38,0.012167215347290039, 0.015781641006469727
3 39,0.014084339141845703, 0.016985416412353516
2 47,0.00490117073059082, 0.006995677947998047
2 48,0.008143186569213867, 0.010046958923339844
2 49,0.003908634185791016, 0.005897998809814453
1 45,0.0034797191619873047, 0.004426240921020508
2 50,0.004511594772338867, 0.0056874752044677734
3 40,0.0041315555572509766, 0.004996299743652344
3 41,0.010657072067260742, 0.012810945510864258
2 51,0.010250568389892578, 0.013781070709228516
2 52,0.0740349292755127, 0.07431435585021973
2 53,0.0020334720611572266, 0.002629518508911133
1 46,0.0033011436462402344, 0.0040073394775390625
1 47,0.007543087005615234, 0.009321212768554688
1 48,0.010049819946289062, 0.012245655059814453
1 49,0.003889799118041992, 0.0052640438079833984
2 54,0.0070497989654541016, 0.008278846740722656
2 55,0.008325815200805664, 0.010548114776611328
