data, bandwidth
ask|2 14|TRANSFER h -> u 37|14|2|1681479862.6359873|                                                                            ,200849.5742611298
ask|2 14|TRANSFER h -> u 37|14|2|1681479862.6359873|                                                                            ,222860.48650892486
feedback|2 14|35|3|2|1681479862.6417673|                                                                                        ,195367.87190684135
feedback|2 14|35|3|2|1681479862.6417673|                                                                                        ,257986.9831811629
decided|2 14|35|1|2|1681479862.6433966|                                                                                         ,79512.8720379147
decided|2 14|35|1|2|1681479862.6433966|                                                                                         ,54141.8830173457
feedback|2 14|35|1|2|1681479862.6465738|                                                                                        ,38323.28588764366
feedback|2 14|35|1|2|1681479862.6465738|                                                                                        ,44088.93093536996
ask|2 15|DEPOSIT l 26|15|2|1681479864.8146517|                                                                                  ,180158.02416107382
ask|2 15|DEPOSIT l 26|15|2|1681479864.8146517|                                                                                  ,249128.03341067286
feedback|2 15|36|3|2|1681479864.8212667|                                                                                        ,106311.07168316832
feedback|2 15|36|3|2|1681479864.8212667|                                                                                        ,252288.96240601502
decided|2 15|36|1|2|1681479864.8222644|                                                                                         ,44263.41099843351
decided|2 15|36|1|2|1681479864.8222644|                                                                                         ,35267.09006109177
feedback|2 15|36|1|2|1681479864.8267503|                                                                                        ,38754.848191727426
feedback|2 15|36|1|2|1681479864.8267503|                                                                                        ,44840.1329658398
ask|2 16|DEPOSIT w 9|16|2|1681479864.994364|                                                                                    ,363733.68021680217
ask|2 16|DEPOSIT w 9|16|2|1681479864.994364|                                                                                    ,383479.22285714286
feedback|2 16|37|3|2|1681479864.9979956|                                                                                        ,320328.7064439141
feedback|2 16|37|3|2|1681479864.9979956|                                                                                        ,517715.4406943105
decided|2 16|37|1|2|1681479865.000101|                                                                                          ,325573.6276531231
decided|2 16|37|1|2|1681479865.000101|                                                                                          ,254200.24242424243
feedback|2 16|37|1|2|1681479865.0047042|                                                                                        ,221025.4886784685
feedback|2 16|37|1|2|1681479865.0047042|                                                                                        ,226432.2699283003
ask|2 17|TRANSFER l -> s 9|17|2|1681479865.1571527|                                                                             ,241181.9011680144
ask|2 17|TRANSFER l -> s 9|17|2|1681479865.1571527|                                                                             ,241181.9011680144
